quarter,name,bundleid,platform,genre,subgenre,QuarterRank,Engagement,GamePlay,CPI,UA,Rev,Eng-Rate,GPlay-Rate,CPI-Rate,UA-Rate,Rev-Rate
2019_Q3,Dominos Game: Dominoes Online and Free Board Games,air.com.jogatina.domino.android,android,Arcade,Board,1,0.21,31.27,1.027,0.09,2992,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q4,Dominos Game: Dominoes Online and Free Board Games,air.com.jogatina.domino.android,android,Arcade,Board,2,0.22,32.13,1.3696,0.07,7447,0.05,0.03,0.33,-0.22,1.49
2020_Q1,Dominos Game: Dominoes Online and Free Board Games,air.com.jogatina.domino.android,android,Arcade,Board,3,0.23,33.14,1.5057,0.09,11770,0.05,0.03,0.1,0.29,0.58
2020_Q2,Dominos Game: Dominoes Online and Free Board Games,air.com.jogatina.domino.android,android,Arcade,Board,4,0.22,32.79,0.9825,0.06,10476,-0.04,-0.01,-0.35,-0.33,-0.11
2020_Q3,Dominos Game: Dominoes Online and Free Board Games,air.com.jogatina.domino.android,android,Arcade,Board,5,0.21,33.65,0.9083,0.04,9069,-0.05,0.03,-0.08,-0.33,-0.13
2020_Q3,Diggys Adventure,air.com.pixelfederation.diggy,android,Puzzle,Action Puzzle,1,0.0,13.35,0.0,0.01,18224,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q4,Diggys Adventure,air.com.pixelfederation.diggy,android,Puzzle,Action Puzzle,2,0.4,56.13,0.0,0.02,58155,-1.0,3.2,-1.0,1.0,2.19
2020_Q4,Match Triple 3D - Matching Puzzle Game,and.lihuhu.machingtriple,android,Puzzle,Other Match 3,1,0.36,73.65,1.427,0.1,68843,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q1,testApp,archery.elite.shooting.free.game.android,android,Sports,Realistic Sports,1,0.19,10.69,0.41,0.12,0,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q2,testApp,archery.elite.shooting.free.game.android,android,Sports,Realistic Sports,2,0.19,15.87,0.4543,0.13,0,0.0,0.48,0.11,0.08,-1.0
2019_Q3,testApp,archery.elite.shooting.free.game.android,android,Sports,Realistic Sports,3,0.2,15.57,0.524,0.15,961,0.05,-0.02,0.15,0.15,-1.0
2019_Q4,testApp,archery.elite.shooting.free.game.android,android,Sports,Realistic Sports,4,0.2,15.06,0.6292,0.13,660,0.0,-0.03,0.2,-0.13,-0.31
2020_Q1,testApp,archery.elite.shooting.free.game.android,android,Sports,Realistic Sports,5,0.19,13.98,0.6121,0.11,6902,-0.05,-0.07,-0.03,-0.15,9.46
2020_Q2,testApp,archery.elite.shooting.free.game.android,android,Sports,Realistic Sports,6,0.18,19.94,0.5199,0.11,2299,-0.05,0.43,-0.15,0.0,-0.67
2020_Q3,testApp,archery.elite.shooting.free.game.android,android,Sports,Realistic Sports,7,0.16,17.98,0.5107,0.11,2014,-0.11,-0.1,-0.02,0.0,-0.12
2020_Q4,testApp,archery.elite.shooting.free.game.android,android,Sports,Realistic Sports,8,0.15,18.76,0.5718,0.14,1584,-0.06,0.04,0.12,0.27,-0.21
2019_Q4,Bike Hop: Baton Roue,bike.hop.fall,android,Hypercasual,Hypercasual - Arcade,1,0.2,9.28,0.5419,0.2,10878,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q1,Bike Hop: Baton Roue,bike.hop.fall,android,Hypercasual,Hypercasual - Arcade,2,0.19,9.24,0.3647,0.17,21948,-0.05,-0.0,-0.33,-0.15,1.02
2020_Q2,Bike Hop: Baton Roue,bike.hop.fall,android,Hypercasual,Hypercasual - Arcade,3,0.17,7.79,0.313,0.17,14104,-0.11,-0.16,-0.14,0.0,-0.36
2020_Q3,Bike Hop: Baton Roue,bike.hop.fall,android,Hypercasual,Hypercasual - Arcade,4,0.16,6.84,0.3984,0.17,14945,-0.06,-0.12,0.27,0.0,0.06
2020_Q4,Bike Hop: Baton Roue,bike.hop.fall,android,Hypercasual,Hypercasual - Arcade,5,0.16,4.95,0.4692,0.2,12217,0.0,-0.28,0.18,0.18,-0.18
2020_Q3,Onet 3D - Matching Puzzle,bp.free.puzzle.game.mahjong.onet,android,Puzzle,Other Puzzle,1,0.37,45.91,2.5455,0.06,71927,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q4,Onet 3D - Matching Puzzle,bp.free.puzzle.game.mahjong.onet,android,Puzzle,Other Puzzle,2,0.32,52.69,2.5845,0.05,200887,-0.14,0.15,0.02,-0.17,1.79
2020_Q2,Magic Woods,by.hitbox.magicwoods,android,Arcade,Idler,1,0.26,23.88,0.3642,0.18,27377,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q3,Magic Woods,by.hitbox.magicwoods,android,Arcade,Idler,2,0.26,19.15,0.4118,0.14,63041,0.0,-0.2,0.13,-0.22,1.3
2020_Q4,Magic Woods,by.hitbox.magicwoods,android,Arcade,Idler,3,0.23,17.11,0.5297,0.12,26703,-0.12,-0.11,0.29,-0.14,-0.58
2019_Q1,Hempire - Weed Growing Game,ca.lbcstudios.hempire,android,Simulation,Tycoon / Crafting,1,0.31,39.2,0.0,0.0,29259,-1.0,-1.0,-1.0,-1.0,-1.0
